Compound,Date,Negative,Neutral,Organization,Positive,Tweets Ago
0.0,Tue Nov 05 01:40:54 +0000 2019,1.0,0.0,CBS,0.0,91
0.0,Tue Nov 05 01:40:02 +0000 2019,1.0,0.0,CBS,0.0,92
0.0,Tue Nov 05 01:37:52 +0000 2019,1.0,0.0,CBS,0.0,93
0.0,Tue Nov 05 01:37:01 +0000 2019,1.0,0.0,CBS,0.0,94
0.0,Tue Nov 05 01:35:49 +0000 2019,1.0,0.0,CBS,0.0,95
0.0,Tue Nov 05 01:34:13 +0000 2019,1.0,0.0,CBS,0.0,96
-0.3089,Tue Nov 05 01:33:06 +0000 2019,0.78,0.22,CBS,0.0,97
0.6113,Tue Nov 05 01:31:15 +0000 2019,0.637,0.0,CBS,0.363,98
0.0,Tue Nov 05 01:30:00 +0000 2019,1.0,0.0,CBS,0.0,99
0.0,Tue Nov 05 00:38:52 +0000 2019,1.0,0.0,CBS,0.0,100
0.3182,Tue Nov 05 17:19:05 +0000 2019,0.905,0.0,CNN,0.095,1
0.128,Tue Nov 05 17:08:29 +0000 2019,0.923,0.0,CNN,0.077,2
0.0,Tue Nov 05 16:20:02 +0000 2019,1.0,0.0,CNN,0.0,3
0.0,Tue Nov 05 15:43:47 +0000 2019,1.0,0.0,CNN,0.0,4
0.5267,Tue Nov 05 15:35:15 +0000 2019,0.815,0.0,CNN,0.185,5
0.0,Tue Nov 05 15:27:59 +0000 2019,1.0,0.0,CNN,0.0,6
-0.4588,Tue Nov 05 14:29:34 +0000 2019,0.87,0.13,CNN,0.0,7
-0.4588,Tue Nov 05 14:11:22 +0000 2019,0.842,0.158,CNN,0.0,8
